Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Manu Exil,Seytinemas,DF,1704,0,,,
Marc Yoprio,Areoix Lie,FW,1704,0,,,
Marcel Iquir,Areoix Lie,DF,1704,0,,,
Mario Brunelli,Lycroa,DF,1704,0,,,
Maxim Alzor,Alzuria,FW,1704,0,,,
Mikel Tirnan,Raledria,GK,1704,0,,,
Mikol Pelan,Etirha,DF,1704,0,,,
Milos Chishan,Emara,DF,1704,0,,,
Mira Inan,Seytinemas,DF,1704,0,,,
Mira Zhansh,Quidic,DF,1704,0,,,
Mirsa Praen,Praesyu,DF,1704,0,,,
Nico Vellan,Lycroa,GK,1704,0,,,
Niko Brimar,Praesyu,MF,1704,0,,,
Niko Laselt,Etirha,DF,1704,0,,,
Niko Tijen,Estijan,FW,1704,0,,,
Niko Tscheren,Emara,MF,1704,0,,,
Niko Vasil,Raledria,FW,1704,0,,,
Nils Eldorf,Eldjo,MF,1704,0,,,
Nils Halvar,Verusa,MF,1704,0,,,
Nils Veelmit,United Delet,MF,1704,0,,,
Niram Vellar,Easuhura,MF,1704,0,,,
Niran Yoki,Easuhura,GK,1704,0,,,
Niran Yokima,Easuhura,,1764,0,,1764 Best goalkeeper (Bastion),
Odin Brunic,Verusa,MF,1704,0,,,
Odin Eldland,Eldjo,DF,1704,0,,,
Odin Hiwush,United Delet,DF,1704,0,,,
Olu Canden,Areoix Lie,DF,1704,0,,,
Olwen Lirkar,New Misos,,1748,0,,1748 Best goalkeeper (Bastion),
Onae Talvan,Quidic,GK,1704,0,,,
Oren Brimun,Praesyu,DF,1704,0,,,
Oren Hual,Estijan,DF,1704,0,,,
Oren Ralev,Raledria,DF,1704,0,,,
Ostan Peka,Etirha,FW,1704,0,,,
Otto Mendere,United Delet,DF,1704,0,,,
Otvan Reinal,Alzuria,GK,1704,0,,,
Petr Kovsul,Emara,MF,1704,0,,,
Phako Mangiw,Siana,FW,1704,0,,,
Pino Marsel,Lycroa,FW,1704,0,,,
Ravko Borzhin,Emara,DF,1704,0,,,
Reinz Volk,Alzuria,DF,1704,0,,,
Reku Shomjin,Quidic,DF,1704,0,,,
Reku Vayvel,Seytinemas,FW,1704,0,,,
Reku Verul,Quidic,FW,1704,0,,,
Remy Feior,Areoix Lie,FW,1704,0,,,
Renar Brimen,Praesyu,FW,1704,0,,,
Renar Yokal,Easuhura,FW,1704,0,,,
Rene Eninra,Areoix Lie,MF,1704,0,,,
Reno Estan,Estijan,DF,1704,0,,,
Reno Lukman,Siana,MF,1704,0,,,
Reno Wadik,Siana,GK,1704,0,,,
Renu Mavari,Easuhura,DF,1704,0,,,
Renu Ozin,Seytinemas,MF,1704,0,,,
Renu Volver,Quidic,MF,1704,0,,,
Renzo Huifar,Lycroa,MF,1704,0,,,
Renzo Metnd,Etirha,MF,1704,0,,,
Renzo Migan,Dahe,DF,1704,0,,,
Reua Sivos,Seytinemas,DF,1704,0,,,
Riku Oscair,Dahe,FW,1704,0,,,
Roman Werbin,Emara,GK,1704,0,,,
Ryo Sanag,Dahe,FW,1704,0,,,
Sael Gaeir,Etirha,DF,1704,0,,,
Sael Torin,Raledria,FW,1704,0,,,
Sahel Mavar,Easuhura,DF,1704,0,,,
Sahir Mavan,Easuhura,FW,1704,0,,,
Sami Viussi,Areoix Lie,DF,1704,0,,,
Sandro Velar,Lycroa,DF,1704,0,,,
Sanu Hyelen,Quidic,DF,1704,0,,,
Saro Brimel,Praesyu,MF,1704,0,,,
Saro Estir,Estijan,MF,1704,0,,,
Saro Nheyes,Quidic,MF,1704,0,,,
Saro Ocaun,Seytinemas,MF,1704,0,,,
Saua Chaen,Seytinemas,DF,1704,0,,,
Sefu Eldav,Areoix Lie,MF,1704,0,,,
Sevan Praeir,Praesyu,MF,1704,0,,,
Sevan Tijun,Estijan,MF,1704,0,,,
Sevan Tomsil,Etirha,MF,1704,0,,,
Sevan Toral,Raledria,MF,1704,0,,,
Sevan Veltar,Emara,MF,1704,0,,,
Sevan Yokar,Easuhura,MF,1704,0,,,
Sevren Olbrak,New Misos,,1756,0,,1756 Best goalkeeper (Bastion),
Sho Canld,Dahe,GK,1704,0,,,
Sin Hapuag,Siana,DF,1704,0,,,
Sin Jumatel,Siana,DF,1704,0,,,
Sora Kaast,Dahe,DF,1704,0,,,
Sota Stineb,Dahe,FW,1704,0,,,
Stan Volzeh,Emara,DF,1704,0,,,
Stefan Reier,Alzuria,DF,1704,0,,,
Sten Raledar,Raledria,DF,1704,0,,,
Stig Aplas,United Delet,FW,1704,0,,,
Stig Eldun,Eldjo,FW,1704,0,,,
Stig Verik,Verusa,DF,1704,0,,,
Suei Galca,Seytinemas,FW,1704,0,,,
Sune Baluyd,Quidic,FW,1704,0,,,
Suren Toral,Easuhura,MF,1704,0,,,
Sven Eldstrom,Eldjo,DF,1704,0,,,
Sven Halst,Verusa,DF,1704,0,,,
Sven Walpor,United Delet,DF,1704,0,,,
Taren Huar,Estijan,GK,1704,0,,,
Taro Eparin,Dahe,GK,1704,0,,,
Taru Ucrun,Dahe,MF,1704,0,,,
Tavi Iarev,Quidic,MF,1704,0,,,
Tavu Lunava,Seytinemas,GK,1704,0,,,
Tenu Finae,Quidic,FW,1704,0,,,
Tenu Lieri,Seytinemas,FW,1704,0,,,
Tiba Sattle,Areoix Lie,MF,1704,0,,,
Tiery Jathu,Areoix Lie,DF,1704,0,,,
Toban Vellun,Easuhura,FW,1704,0,,,
Tobias Reinl,Alzuria,MF,1704,0,,,
Toby Vaster,Raledria,MF,1704,0,,,
Toman Reyas,Praesyu,,1720,0,,1720 Best goalkeeper (Bastion),
Tomik Guisar,Etirha,FW,1704,0,,,
Tomik Zerikul,Emara,DF,1704,0,,,
Tor Verun,Verusa,MF,1704,0,,,
Tor Yutnit,United Delet,MF,1704,0,,,
Tovan Brunar,Verusa,DF,1704,0,,,
Tovan Eldlund,Eldjo,DF,1704,0,,,
Tovan Huan,Estijan,FW,1704,0,,,
Tovan Praeal,Praesyu,FW,1704,0,,,
Tovan Vellim,Easuhura,DF,1704,0,,,
Tovar Fincen,Etirha,DF,1704,0,,,
Tovin Brimas,Praesyu,GK,1704,0,,,
Ulf Elden,Eldjo,MF,1704,0,,,
Ulf Halor,Verusa,MF,1704,0,,,
Ulf Niar,United Delet,GK,1704,0,,,
Vael Anymn,Quidic,DF,1704,0,,,
Vael Arbin,Etirha,MF,1704,0,,,
Vael Rushen,Emara,MF,1704,0,,,
Vaiu Taoin,Seytinemas,MF,1704,0,,,
Veniel Stanev,Emara,GK,1704,0,,,
Vico Calven,Lycroa,MF,1704,0,,,
Vidar Brunel,Verusa,DF,1704,0,,,
Vidar Delen,United Delet,FW,1704,0,,,
Vidar Eldalm,Eldjo,DF,1704,0,,,
Viko Mylan,Quidic,GK,1704,0,,,
Viko Sadain,Seytinemas,GK,1704,0,,,
Vito Marsan,Lycroa,DF,1704,0,,,
Yann Mizhin,Emara,FW,1704,0,,,
Yann Trevil,Areoix Lie,FW,1704,0,,,
Yuki Haizan,Dahe,FW,1704,0,,,
Yuto Shinam,Dahe,MF,1704,0,,,
