Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Frey Maalle,United Delet,MF,"1704, 1708, 1712",0,,,career spans generated
Fritz Reik,Alzuria,GK,1704,0,,,
Gio Huetan,Lycroa,MF,1704,0,,,
Gunn Astar,United Delet,DF,1704,0,,,
Gunn Eldkvist,Eldjo,GK,"1704, 1708",0,,,career spans generated
Gunn Veren,Verusa,GK,"1704, 1708",0,,,career spans generated
Halan Grazel,Etirha,FW,1704,0,,,
Halan Renar,Raledria,MF,"1704, 1708",0,,,career spans generated
Haldor Eldahl,Eldjo,DF,"1700, 1704, 1708",0,,,career spans generated
Hano Tijar,Estijan,DF,"1700, 1704",0,,,career spans generated
Hans Alzar,Alzuria,DF,1704,0,,,
Hans Astye,United Delet,MF,"1700, 1704, 1708, 1712",0,,,career spans generated
Hanu Ashin,Quidic,DF,"1704, 1708",0,,,career spans generated
Hanu Taing,Seytinemas,DF,"1700, 1704",0,,,career spans generated
Haru Ihner,Dahe,DF,"1700, 1704, 1708",0,,,career spans generated
Haruo Pruim,Dahe,MF,"1700, 1704, 1708",0,,,career spans generated
Hau Selaj,Seytinemas,MF,1704,0,,,
Heinz Reial,Alzuria,DF,1704,0,,,
Hiren Quartelar,Lycroa,,1744,0,,1744 Best goalkeeper (Bastion),
Hugo Alzun,Alzuria,FW,"1700, 1704, 1708",0,,,career spans generated
Ilya Puzhin,Emara,FW,1704,0,,,
Iram Praek,Praesyu,GK,1704,0,,,
Ivan Huak,Estijan,GK,1704,0,,,
Ivan Syliad,Etirha,GK,1704,0,,,
Ivan Tirzal,Raledria,GK,1704,0,,,
Jaro Estil,Estijan,DF,"1700, 1704",0,,,career spans generated
Jean Tanidun,Areoix Lie,GK,1704,0,,,
Jorg Volken,Alzuria,FW,"1700, 1704, 1708",0,,,career spans generated
Juma Bagusil,Siana,MF,"1700, 1704, 1708",0,,,career spans generated
Juma Sariyah,Siana,DF,1704,0,,,
Kael Mesjan,Quidic,FW,1704,0,,,
Kaeu Inrea,Seytinemas,FW,1704,0,,,
Kaiu Trian,Seytinemas,DF,"1700, 1704, 1708, 1712",0,,,career spans generated
Karen Brimor,Praesyu,FW,1704,0,,,
Karen Estal,Estijan,FW,1704,0,,,
Karl Andsaud,United Delet,DF,"1704, 1708, 1712",0,,,career spans generated
Karl Eldren,Eldjo,FW,1704,0,,,
Karl Halren,Verusa,FW,"1704, 1708",0,,,career spans generated
Karlo Alzen,Alzuria,DF,"1704, 1708",0,,,career spans generated
Karo Tijan,Estijan,DF,"1704, 1708",0,,,career spans generated
Kasi Othya,Areoix Lie,DF,1704,0,,,
Kavan Torul,Raledria,DF,"1704, 1708, 1712",0,,,career spans generated
Kavi Mirovan,United Delet,,1708,0,,1708 Best player (Vairan Ball),
Ken Welenu,Dahe,DF,1704,0,,,
Kenji Cloja,Dahe,DF,1704,0,,,
Kiro Letan,Quidic,DF,"1700, 1704, 1708",0,,,career spans generated
Klaus Volkin,Alzuria,FW,1704,0,,,
Kofi Reeric,Areoix Lie,FW,"1700, 1704, 1708",0,,,career spans generated
Koren Brimun,Praesyu,DF,"1700, 1704, 1708",0,,,career spans generated
Koren Easil,Easuhura,DF,1704,0,,,
Koren Phuran,Etirha,DF,"1704, 1708",0,,,career spans generated
Koren Tijal,Estijan,DF,"1704, 1708",0,,,career spans generated
Koren Vasen,Raledria,DF,1704,0,,,
Kurt Alzel,Alzuria,MF,1704,0,,,
Lars Brunel,Verusa,DF,"1704, 1708",0,,,career spans generated
Lars Eldby,Eldjo,MF,"1704, 1708",0,,,career spans generated
Lars Iaino,United Delet,DF,"1704, 1708, 1712",0,,,career spans generated
Leif Brunor,Verusa,FW,"1704, 1708",0,,,career spans generated
Leif Eldval,Eldjo,FW,"1700, 1704, 1708",0,,,career spans generated
Leif Rethern,United Delet,FW,1704,0,,,
Lev Vahkhen,Emara,DF,1704,0,,,
Lino Brunel,Lycroa,FW,"1704, 1708",0,,,career spans generated
Loic Umend,Areoix Lie,MF,"1700, 1704",0,,,career spans generated
Lokan Tavalan,United Delet,,1708,0,,1708 Best goalkeeper (Bastion),
Loku Amcha,Seytinemas,MF,"1700, 1704",0,,,career spans generated
Loku Onphel,Quidic,MF,1704,0,,,
Loren Brimal,Praesyu,DF,1704,0,,,
Loren Huanic,Estijan,MF,1704,0,,,
Loren Mavir,Easuhura,DF,1704,0,,,
Loren Phuris,Etirha,MF,"1700, 1704",0,,,career spans generated
Lucan Calvel,Lycroa,DF,"1704, 1708",0,,,career spans generated
Lucien Pelin,Areoix Lie,DF,1704,0,,,
Luk Chigao,Siana,FW,"1704, 1708",0,,,career spans generated
Luk Tungka,Siana,DF,"1700, 1704, 1708",0,,,career spans generated
Lukas Alzir,Alzuria,MF,1704,0,,,
Mads Deltar,United Delet,FW,1704,0,,,
Mads Eldnes,Eldjo,FW,1704,0,,,
Mads Halen,Verusa,FW,"1700, 1704, 1708",0,,,career spans generated
Mangi Phakal,Siana,MF,"1704, 1708",0,,,career spans generated
Mangi Reinsha,Siana,DF,1704,0,,,
Manu Exil,Seytinemas,DF,1704,0,,,
Marc Yoprio,Areoix Lie,FW,"1704, 1708",0,,,career spans generated
Marcel Iquir,Areoix Lie,DF,"1704, 1708",0,,,career spans generated
Mario Brunelli,Lycroa,DF,"1704, 1708",0,,,career spans generated
Maxim Alzor,Alzuria,FW,"1700, 1704, 1708",0,,,career spans generated
Mikel Tirnan,Raledria,GK,1704,0,,,
Mikol Pelan,Etirha,DF,1704,0,,,
Milos Chishan,Emara,DF,"1704, 1708",0,,,career spans generated
Mira Inan,Seytinemas,DF,"1704, 1708",0,,,career spans generated
Mira Zhansh,Quidic,DF,"1704, 1708",0,,,career spans generated
Mirsa Praen,Praesyu,DF,"1704, 1708",0,,,career spans generated
Nico Vellan,Lycroa,GK,1704,0,,,
Niko Brimar,Praesyu,MF,1704,0,,,
Niko Laselt,Etirha,DF,"1704, 1708",0,,,career spans generated
Niko Tijen,Estijan,FW,1704,0,,,
Niko Tscheren,Emara,MF,"1704, 1708",0,,,career spans generated
Niko Vasil,Raledria,FW,1704,0,,,
Nils Eldorf,Eldjo,MF,1704,0,,,
Nils Halvar,Verusa,MF,"1704, 1708",0,,,career spans generated
Nils Veelmit,United Delet,MF,1704,0,,,
Niram Vellar,Easuhura,MF,"1700, 1704, 1708",0,,,career spans generated
Niran Yoki,Easuhura,GK,"1704, 1708, 1712",0,,,career spans generated
Niran Yokima,Easuhura,,"1760, 1764",0,,1764 Best goalkeeper (Bastion),career spans generated
Odin Brunic,Verusa,MF,"1700, 1704, 1708",0,,,career spans generated
Odin Eldland,Eldjo,DF,1704,0,,,
Odin Hiwush,United Delet,DF,1704,0,,,
Olu Canden,Areoix Lie,DF,1704,0,,,
Onae Talvan,Quidic,GK,1704,0,,,
Oren Brimun,Praesyu,DF,"1704, 1708",0,,,career spans generated
Oren Hual,Estijan,DF,"1704, 1708, 1712, 1716",0,,,career spans generated
Oren Ralev,Raledria,DF,1704,0,,,
Ostan Peka,Etirha,FW,"1704, 1708, 1712",0,,,career spans generated
Otto Mendere,United Delet,DF,1704,0,,,
Otvan Reinal,Alzuria,GK,"1700, 1704",0,,,career spans generated
Petr Kovsul,Emara,MF,"1700, 1704",0,,,career spans generated
Phako Mangiw,Siana,FW,1704,0,,,
Pino Marsel,Lycroa,FW,1704,0,,,
Ravko Borzhin,Emara,DF,"1700, 1704, 1708",0,,,career spans generated
Reinz Volk,Alzuria,DF,1704,0,,,
Reku Shomjin,Quidic,DF,"1700, 1704, 1708",0,,,career spans generated
Reku Vayvel,Seytinemas,FW,"1700, 1704",0,,,career spans generated
Reku Verul,Quidic,FW,1704,0,,,
Remy Feior,Areoix Lie,FW,"1704, 1708, 1712",0,,,career spans generated
Renar Brimen,Praesyu,FW,"1700, 1704, 1708",0,,,career spans generated
Renar Yokal,Easuhura,FW,"1704, 1708",0,,,career spans generated
Rene Eninra,Areoix Lie,MF,1704,0,,,
Reno Estan,Estijan,DF,"1704, 1708",0,,,career spans generated
Reno Lukman,Siana,MF,"1704, 1708, 1712",0,,,career spans generated
Reno Wadik,Siana,GK,"1704, 1708, 1712",0,,,career spans generated
Renu Mavari,Easuhura,DF,"1704, 1708",0,,,career spans generated
Renu Ozin,Seytinemas,MF,"1704, 1708, 1712",0,,,career spans generated
Renu Volver,Quidic,MF,"1704, 1708",0,,,career spans generated
Renzo Huifar,Lycroa,MF,"1704, 1708",0,,,career spans generated
Renzo Metnd,Etirha,MF,"1700, 1704",0,,,career spans generated
Renzo Migan,Dahe,DF,"1700, 1704",0,,,career spans generated
Reua Sivos,Seytinemas,DF,"1700, 1704",0,,,career spans generated
Riku Oscair,Dahe,FW,"1704, 1708, 1712",0,,,career spans generated
Roman Werbin,Emara,GK,1704,0,,,
Ryo Sanag,Dahe,FW,"1704, 1708",0,,,career spans generated
Sael Gaeir,Etirha,DF,1704,0,,,
Sael Torin,Raledria,FW,1704,0,,,
Sahel Mavar,Easuhura,DF,1704,0,,,
Sahir Mavan,Easuhura,FW,"1704, 1708",0,,,career spans generated
Sami Viussi,Areoix Lie,DF,1704,0,,,
Sandro Velar,Lycroa,DF,1704,0,,,
Sanu Hyelen,Quidic,DF,"1700, 1704",0,,,career spans generated
Saro Brimel,Praesyu,MF,1704,0,,,
Saro Estir,Estijan,MF,1704,0,,,
Saro Nheyes,Quidic,MF,"1704, 1708",0,,,career spans generated
Saro Ocaun,Seytinemas,MF,"1700, 1704, 1708",0,,,career spans generated
Saua Chaen,Seytinemas,DF,1704,0,,,
Sefu Eldav,Areoix Lie,MF,1704,0,,,
Sevan Praeir,Praesyu,MF,1704,0,,,
Sevan Tijun,Estijan,MF,1704,0,,,
Sevan Tomsil,Etirha,MF,1704,0,,,
Sevan Toral,Raledria,MF,"1704, 1708",0,,,career spans generated
Sevan Veltar,Emara,MF,1704,0,,,
Sevren Olbrak,New Misos,,"1752, 1756, 1760",0,,1756 Best goalkeeper (Bastion),career spans generated
Sho Canld,Dahe,GK,1704,0,,,
Sora Kaast,Dahe,DF,1704,0,,,
Stan Volzeh,Emara,DF,"1704, 1708",0,,,career spans generated
Stefan Reier,Alzuria,DF,1704,0,,,
Sten Raledar,Raledria,DF,"1704, 1708",0,,,career spans generated
Stig Aplas,United Delet,FW,1704,0,,,
Stig Verik,Verusa,DF,1704,0,,,
Suei Galca,Seytinemas,FW,1704,0,,,
Sune Baluyd,Quidic,FW,"1704, 1708, 1712",0,,,career spans generated
Suren Toral,Easuhura,MF,1704,0,,,
Sven Eldstrom,Eldjo,DF,1704,0,,,
Sven Halst,Verusa,DF,1704,0,,,
Sven Walpor,United Delet,DF,"1700, 1704, 1708",0,,,career spans generated
Taren Huar,Estijan,GK,1704,0,,,
Taro Eparin,Dahe,GK,"1700, 1704",0,,,career spans generated
Tavi Iarev,Quidic,MF,"1700, 1704",0,,,career spans generated
Tavu Lunava,Seytinemas,GK,"1700, 1704, 1708",0,,,career spans generated
Tenu Finae,Quidic,FW,"1704, 1708, 1712",0,,,career spans generated
Tenu Lieri,Seytinemas,FW,"1700, 1704, 1708, 1712",0,,,career spans generated
Tiba Sattle,Areoix Lie,MF,1704,0,,,
Tiery Jathu,Areoix Lie,DF,"1704, 1708, 1712",0,,,career spans generated
Toban Vellun,Easuhura,FW,1704,0,,,
Tobias Reinl,Alzuria,MF,"1704, 1708",0,,,career spans generated
Toby Vaster,Raledria,MF,"1700, 1704, 1708",0,,,career spans generated
Toman Reyas,Praesyu,,"1712, 1716, 1720",0,,1720 Best goalkeeper (Bastion),career spans generated
Tomik Guisar,Etirha,FW,"1700, 1704, 1708",0,,,career spans generated
Tomik Zerikul,Emara,DF,"1704, 1708, 1712",0,,,career spans generated
Tor Verun,Verusa,MF,"1704, 1708",0,,,career spans generated
Tor Yutnit,United Delet,MF,"1704, 1708",0,,,career spans generated
Tovan Brunar,Verusa,DF,"1704, 1708, 1712",0,,,career spans generated
Tovan Eldlund,Eldjo,DF,"1704, 1708",0,,,career spans generated
Tovan Praeal,Praesyu,FW,"1700, 1704",0,,,career spans generated
Tovan Vellim,Easuhura,DF,"1700, 1704, 1708",0,,,career spans generated
Tovar Fincen,Etirha,DF,"1704, 1708",0,,,career spans generated
Tovin Brimas,Praesyu,GK,1704,0,,,
Ulf Elden,Eldjo,MF,"1704, 1708",0,,,career spans generated
Ulf Halor,Verusa,MF,"1700, 1704",0,,,career spans generated
Ulf Niar,United Delet,GK,"1700, 1704, 1708",0,,,career spans generated
Vael Anymn,Quidic,DF,1704,0,,,
Vael Arbin,Etirha,MF,1704,0,,,
Vael Rushen,Emara,MF,"1700, 1704, 1708",0,,,career spans generated
Vaiu Taoin,Seytinemas,MF,"1704, 1708",0,,,career spans generated
Veniel Stanev,Emara,GK,"1704, 1708, 1712",0,,,career spans generated
Vico Calven,Lycroa,MF,"1704, 1708",0,,,career spans generated
Vidar Brunel,Verusa,DF,"1700, 1704, 1708",0,,,career spans generated
Vidar Delen,United Delet,FW,1704,0,,,
Vidar Eldalm,Eldjo,DF,"1704, 1708",0,,,career spans generated
Viko Mylan,Quidic,GK,1704,0,,,
Viko Sadain,Seytinemas,GK,1704,0,,,
Vito Marsan,Lycroa,DF,1704,0,,,
Yann Mizhin,Emara,FW,1704,0,,,
Yann Trevil,Areoix Lie,FW,1704,0,,,
Yuki Haizan,Dahe,FW,"1704, 1708, 1712",0,,,career spans generated
Yuto Shinam,Dahe,MF,1704,0,,,
